x,y,yaw,velocity
3.9377302,2.2371461,-0.531473,4.8298242
3.9868254,2.3241506,-0.4955443,4.7557212
4.0326663,2.4129848,-0.4567742,4.688458
4.0748581,2.5035158,-0.4147449,4.6353778
4.1129584,2.5957239,-0.3681669,4.5993744
4.146545,2.6897524,-0.3173663,4.5770658
4.1751908,2.7854455,-0.264041,4.5616754
4.1985946,2.8825015,-0.2089249,4.5528245
4.2165411,2.9807166,-0.1523581,4.5487387
4.2288598,3.0798238,-0.0948464,4.5476764
4.2354375,3.1795219,-0.0368693,4.5473925
4.2362351,3.2794248,0.0208004,4.5471086
4.2313382,3.3791156,0.0769176,4.5496101
4.2209802,3.4784546,0.1303865,4.563295
4.2054609,3.5771719,0.1810259,4.588354
4.1850961,3.6750002,0.2290475,4.6232136
4.1601807,3.7717338,0.2747788,4.6033966
4.1309415,3.867318,0.318656,4.5495089
4.0976085,3.9615594,0.3610654,4.4820615
4.0603935,4.0542475,0.4024213,4.4017797
4.0194695,4.1451963,0.4431913,4.3094948
3.9746984,4.2347397,0.4841467,4.2061487
3.9262874,4.3223383,0.5257616,4.0926345
3.8742581,4.4077523,0.5687766,3.9702168
3.8185607,4.490721,0.6141257,3.8404546
3.7590562,4.5709398,0.6630362,3.7091974
3.6955019,4.6480121,0.7171334,3.582043
3.6275634,4.7213501,0.7787477,3.467208
3.5548711,4.7900461,0.8506122,3.3784235
3.4772124,4.8526127,0.93716,3.3299547
3.394555,4.9074954,1.0319405,3.2830898
3.3062777,4.9547581,1.1270457,3.2229519
3.2142817,4.9931164,1.2249515,3.162147
3.1189186,5.0221189,1.3270768,3.102607
3.0209079,5.0409302,1.4368803,3.0634495
2.9213479,5.0483325,1.5584271,3.0632582
2.8216645,5.0432461,1.6841093,3.063067
2.7233285,5.0260826,1.8015265,3.0807236
2.627558,4.9979749,1.9094115,3.1226624
2.535154,4.9601161,2.0084811,3.1840056
2.4469891,4.9137424,2.1001166,3.2577107
2.3636237,4.8599737,2.1877026,3.3412286
2.2846166,4.7985996,2.2714944,3.3977353
2.2099535,4.7311923,2.3360132,3.5004937
2.1399076,4.6602621,2.3873831,3.6417134
2.0731312,4.585927,2.4309347,3.7840788
2.0093577,4.5088557,2.4689578,3.9212621
1.9485766,4.4298013,2.5026706,4.0537894
1.8903094,4.3488102,2.5324998,4.1821034
1.8342576,4.2661467,2.5582846,4.3065807
1.7801458,4.1821024,2.5801956,4.4275448
1.72771,4.0969548,2.5984606,4.5452764
1.6766982,4.0109727,2.6130505,4.6600204
1.6264433,3.924625,2.6122891,4.7719923
1.5753992,3.8387684,2.5975465,4.8813829
1.5229157,3.7536948,2.5795918,4.9588814
1.46878,3.6696591,2.5584936,4.8210551
1.4127893,3.5869261,2.5342174,4.6883862
1.3547503,3.5057748,2.5066935,4.5608253
1.2941964,3.4261433,2.4756166,4.4381369
1.2310324,3.3485266,2.4407383,4.3211197
1.1650639,3.2733178,2.4016259,4.2117939
1.0960646,3.2009467,2.3575737,4.1132199
1.0237679,3.1319041,2.3076691,4.0313519
0.9478927,3.0668485,2.2500302,3.9760147
0.8682698,3.0067191,2.1839315,3.9442218
0.7848561,2.9522548,2.1144024,3.9123729
0.6978825,2.9037297,2.0449164,3.8793811
0.6074761,2.8612769,1.9747448,3.8426418
0.5142462,2.8252431,1.9044254,3.8000296
0.4189472,2.795933,1.8338158,3.7527656
0.321594,2.7734157,1.7621809,3.699925
0.2229589,2.7580007,1.6891887,3.6428529
0.1234022,2.7499117,1.6141616,3.5824687
0.023578,2.749433,1.5365179,3.5215051
-0.0760905,2.7568772,1.4553228,3.4637084
-0.1746076,2.7725531,1.36984,3.4139342
-0.2714735,2.7968877,1.278376,3.380225
